Pos,ID,Name,BV,SV,Team,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,Elite%
G,1,Raya,6.0,5.8,Arsenal,93,4.34,92,3.91,90,3.90,89,3.89,89,3.63,90,3.53,88,3.73,88,3.69,87,3.76,86,3.97,0.72
G,2,Arrizabalaga,4.2,4.2,Arsenal,2,0.10,3,0.14,5,0.19,5,0.24,5,0.22,5,0.21,7,0.29,7,0.30,7,0.32,9,0.43,0.00
G,3,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,5,Gabriel,6.3,6.3,Arsenal,0,0.00,40,2.12,73,3.77,83,4.29,82,4.01,82,3.77,82,4.20,81,4.02,79,4.17,79,4.57,0.00
D,6,Saliba,6.0,6.0,Arsenal,76,4.24,88,4.20,85,4.03,86,4.06,82,3.59,82,3.45,80,3.73,77,3.56,78,3.80,78,4.17,0.02
D,7,Calafiori,5.8,5.8,Arsenal,0,0.00,73,3.87,69,3.81,64,3.56,64,3.19,62,3.03,58,3.08,60,3.16,59,3.28,59,3.75,0.01
D,8,J.Timber,6.5,6.5,Arsenal,89,5.66,84,4.24,79,4.21,78,4.16,78,3.62,76,3.51,77,3.83,76,3.80,74,3.88,74,4.56,0.49
D,9,Kiwior,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,10,Lewis-Skelly,5.1,5.1,Arsenal,64,3.74,13,0.52,12,0.52,11,0.47,12,0.48,13,0.54,13,0.55,12,0.52,15,0.65,13,0.59,0.00
D,11,White,5.3,5.3,Arsenal,54,3.18,24,1.13,24,1.18,23,1.15,23,1.06,26,1.20,22,1.05,21,1.05,21,1.06,22,1.24,0.00
D,12,Zinchenko,4.9,4.9,Nott'm Forest,26,1.07,63,2.25,66,1.84,65,2.77,53,1.74,52,2.17,0,0.00,40,1.46,39,1.64,41,1.63,0.00
D,13,Clarke,3.8,3.8,Arsenal,2,0.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,14,Kacurri,3.9,3.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,2,0.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,83,6.72,82,4.83,79,5.42,78,5.21,77,4.78,78,4.87,76,4.74,75,4.97,76,4.64,74,5.36,0.72
M,17,Ødegaard,7.8,7.8,Arsenal,65,4.10,64,3.19,65,3.60,65,3.49,65,3.28,64,3.24,63,3.27,62,3.40,63,3.25,63,3.67,0.00
M,18,Madueke,6.8,6.8,Arsenal,33,2.27,28,1.58,27,1.66,30,1.80,28,1.59,28,1.61,28,1.59,27,1.63,28,1.64,30,1.88,0.00
M,19,Martinelli,6.8,6.8,Arsenal,19,1.45,18,1.10,18,1.21,18,1.18,19,1.17,20,1.22,20,1.25,20,1.32,21,1.32,19,1.28,0.00
M,20,Trossard,6.9,6.9,Arsenal,30,2.18,35,1.97,37,2.35,35,2.15,36,2.10,34,1.96,37,2.11,34,2.12,33,1.98,34,2.27,0.00
M,21,Rice,7.1,7.1,Arsenal,85,4.73,83,3.80,81,4.08,79,3.88,77,3.65,76,3.52,77,3.72,77,3.84,75,3.58,76,4.03,0.01
M,22,Merino,6.0,6.0,Arsenal,61,4.07,49,2.45,37,2.12,36,2.06,35,1.86,35,1.88,33,1.79,33,1.90,35,1.86,34,2.04,0.00
M,23,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
